BioSample,Location,Isolation source,Isolate,Collection date,MLST,SNP cluster,tdh,trh,Toxigenic
SAMN28767324,Bangladesh,raw shrimp,PDT001400604.1,2012,1632,PDS000116548.1,.,100,yes
SAMN29017552,USA,,PDT001327933.1,2022,1713,,.,100,yes
SAMN29444871,USA,,PDT001350625.1,2022,1716,PDS000190313.1,.,100,yes
SAMN29658966,USA,,PDT001357666.1,2022,64,PDS000070037.4,.,100,yes
SAMN29658980,USA,,PDT001357675.1,2022,632,PDS000018014.5,.,100,yes
SAMN29870526,USA,,PDT001366676.1,2022,1729,PDS000114421.1,.,100,yes
SAMN30078450,USA,,PDT001376531.1,2022,36,PDS000007553.295,.,100,yes
SAMN30078743,USA,,PDT001376569.1,2022,2874,,.,100,yes
SAMN30166119,USA,,PDT001379475.1,2022,8,PDS000007517.15,.,100,yes
SAMN30242691,USA,,PDT001383639.1,2022,43,PDS000007548.68,.,100,yes
SAMN30287825,USA,,PDT001387425.1,2022,36,PDS000007553.295,.,100,yes
SAMN30349689,USA,,PDT001391160.1,,-,PDS000051764.6,.,100,yes
SAMN30349723,USA,,PDT001391153.1,2022,8,PDS000007517.15,.,100,yes
SAMN30442592,USA,,PDT001396284.1,2022,8,PDS000007517.15,.,100,yes
SAMN30466463,USA,,PDT001396568.1,2022,2209,PDS000050749.6,.,100,yes
SAMN30854450,USA,,PDT001418517.1,2022,-,,.,100,yes
SAMN30857500,USA,,PDT001417039.1,2022,653,PDS000012306.14,.,100,yes
SAMN30857503,USA,,PDT001416851.1,2022,3239,PDS000118058.1,.,100,yes
SAMN30859875,USA,,PDT001417120.1,2022,2529,PDS000016327.31,.,100,yes
SAMN30859884,USA,,PDT001417121.1,2022,653,PDS000012306.14,.,100,yes
SAMN30861521,USA,,PDT001417192.1,2022,632,,.,100,yes
SAMN30861524,USA,,PDT001417196.1,2022,36,PDS000007553.295,.,100,yes
SAMN30861535,USA,,PDT001417197.1,2022,141,PDS000157364.1,.,100,yes
SAMN30861632,USA,,PDT001417232.1,2022,771,PDS000049496.7,.,100,yes
SAMN31026945,USA,,PDT001434645.1,2022,2492,PDS000016699.32,.,100,yes
SAMN31111605,USA,,PDT001438952.1,2022,631,PDS000014717.7,.,100,yes
SAMN31112606,USA,,PDT001439024.1,2022,2492,PDS000016699.32,.,100,yes
SAMN31184996,USA,,PDT001444538.1,2022,2492,PDS000016699.32,.,100,yes
SAMN31185953,USA,,PDT001444902.1,2022,36,PDS000007553.295,.,100,yes
SAMN31185954,USA,,PDT001444903.1,2022,3244,PDS000120348.4,.,100,yes
SAMN31273979,USA,,PDT001452208.1,2022,1196,PDS000082370.9,.,100,yes
SAMN31440617,USA,,PDT001466068.1,2022,281,PDS000121459.1,.,100,yes
SAMN31484380,USA,,PDT001468717.1,2022,36,PDS000007553.295,.,100,yes
SAMN31509392,USA,,PDT001470104.1,2022,2529,PDS000016327.31,.,100,yes
SAMN31607061,USA,,PDT001476327.1,2022,811,PDS000174899.1,.,100,yes
SAMN32074759,USA,,PDT001514779.1,,2492,PDS000016699.32,.,100,yes
SAMN32785318,USA,,PDT001581474.1,2022,653,PDS000012306.14,.,100,yes
SAMN33214613,USA:WA,Marine Oyster,PDT001611072.1,15/8/2022,-,,.,100,yes
SAMN33577369,USA,,PDT001650631.1,2023,2608,,.,100,yes
SAMN33578524,USA,,PDT001651227.1,2022,3244,,.,100,yes
SAMN33610186,USA,,PDT001653047.1,2022,470,PDS000138299.1,.,100,yes
SAMN33779929,USA,,PDT001662092.1,2023,-,,.,100,yes
SAMN35217049,Spain: Cadiz,oyster,PDT001742317.1,2021,966,,.,100,yes
SAMN02435811,USA,water,PDT000017609.2,2010,308,,.,100,yes
SAMN02338964,,,PDT000018831.1,1991,-,,.,100,yes
SAMN02338961,,,PDT000018834.1,1951,1,PDS000007514.9,.,100,yes
SAMN02338955,,,PDT000018840.1,1984,325,,.,100,yes
SAMN02338948,,,PDT000018849.1,1996,91,PDS000007536.1,.,100,yes
SAMN02338904,,,PDT000018896.1,,1017,,.,100,yes
SAMN02338901,,,PDT000018899.1,1990,546,,.,100,yes
SAMN02338880,,,PDT000018922.1,1998,563,,.,100,yes
SAMN02338873,,,PDT000018930.1,1990,#N/A,PDS000007535.1,.,100,yes
SAMN02338872,,,PDT000018931.1,1990,#N/A,PDS000007535.1,.,100,yes
SAMN02338871,,,PDT000018932.1,1987,91,PDS000007535.1,.,100,yes
SAMN02338870,,,PDT000018933.1,1987,91,PDS000007535.1,.,100,yes
SAMN02338869,,,PDT000018934.1,,91,PDS000007536.1,.,100,yes
SAMN02338868,,,PDT000018935.1,1985,96,PDS000046740.1,.,100,yes
SAMN02338867,,,PDT000018936.1,,91,PDS000007536.1,.,100,yes
SAMN02741376,USA,stool,PDT000033684.2,11/7/2013,653,PDS000012306.14,.,100,yes
SAMN02741375,USA,stool,PDT000033685.2,17/6/2012,653,PDS000012306.14,.,100,yes
SAMD00018682,Japan,,PDT000046852.1,,1,,.,100,yes
SAMN02204313,USA: Washington,stool sample,PDT000050081.2,2007,417,PDS000007538.20,.,100,yes
SAMN03452299,Canada: New Brunswick,,PDT000060556.1,2009,632,PDS000018014.5,.,100,yes
SAMN03452294,Canada: British Columbia,,PDT000060557.1,2009,417,PDS000007538.20,.,100,yes
SAMN03452293,Canada: British Columbia,,PDT000060559.1,2009,417,PDS000007538.20,.,100,yes
SAMN03452300,Canada: British Columbia,,PDT000060560.1,2006,141,PDS000007497.10,.,100,yes
SAMN03452292,Canada: Alberta,,PDT000060561.1,2009,417,PDS000007538.20,.,100,yes
SAMN02204311,USA: Washington,stool sample,PDT000061673.2,2007,417,PDS000007537.17,.,100,yes
SAMN03349604,Canada: Alberta,not collected,PDT000061872.1,2008,417,,.,100,yes
SAMN03452291,Canada: British Columbia,,PDT000062387.1,2009,417,PDS000007538.20,.,100,yes
SAMN03349608,Canada: British Columbia,not collected,PDT000064985.1,2006,141,,.,100,yes
SAMN03349607,Canada: British Columbia,not collected,PDT000064988.1,2009,417,,.,100,yes
SAMN03349612,Canada: British Columbia,not collected,PDT000064989.1,2008,417,,.,100,yes
SAMN03458146,Japan,,PDT000066535.1,1951,1,PDS000007514.9,.,100,yes
SAMN03177808,,clinical patient,PDT000067166.1,2011,1127,,.,100,yes
SAMN03795178,Canada,Mollusc,PDT000081960.1,2010,#N/A,,.,100,yes
SAMN03795184,Canada,seafood,PDT000081980.1,2007,1187,,.,100,yes
SAMN03795185,Canada,seafood,PDT000081981.1,2010,1516,,.,100,yes
SAMN03795188,Canada,seafood,PDT000081982.1,2012,#N/A,,.,100,yes
SAMN03799836,Canada,Imported Shrimp,PDT000082997.1,2011,1632,PDS000116548.1,.,100,yes
SAMN03799838,Canada,seafood,PDT000083001.1,,1728,,.,100,yes
SAMN03735013,India,Sea-food,PDT000101709.1,9/5/2013,1052,,.,100,yes
SAMN04293498,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000106757.1,2009,417,PDS000007538.20,.,100,yes
SAMN04320985,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000113999.1,2004,141,PDS000007497.10,.,100,yes
SAMN04358201,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000123058.1,2008,417,PDS000007537.17,.,100,yes
SAMN04422010,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124283.1,2009,417,PDS000007538.20,.,100,yes
SAMN04422063,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124297.1,2006,635,,.,100,yes
SAMN04441013,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124305.1,2009,417,PDS000007537.17,.,100,yes
SAMN04441011,Canada: Alberta,clinical sample from patient with gastroenteritis,PDT000124306.1,2009,417,PDS000007538.20,.,100,yes
SAMN04441023,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124313.1,2003,#N/A,PDS000007503.4,.,100,yes
SAMN04358135,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124315.1,2008,417,PDS000007537.17,.,100,yes
SAMN04358132,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124316.1,2008,417,PDS000007537.17,.,100,yes
SAMN04358136,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124320.1,2008,#N/A,PDS000007503.4,.,100,yes
SAMN04377087,Canada: Saskatchewan,clinical sample from patient with gastroenteritis,PDT000124325.1,2004,629,,.,100,yes
SAMN04377152,Canada: British Columbia,clinical sample from patient with gastroenteritis,PDT000124326.1,2009,417,PDS000007538.20,.,100,yes
SAMN06076928,Japan,,PDT000188223.1,1951,-,PDS000007514.9,.,100,yes
SAMN01816334,USA:NY,Atlantic coast,PDT000198371.1,1998,98,,.,100,yes
SAMN03470168,Germany: Berlin,,PDT000198373.1,1995,73,,.,100,yes
SAMN03470181,Germany: Dagebuell,,PDT000198374.1,2011,79,PDS000013106.2,.,100,yes
SAMN03465090,Germany: Bonn,,PDT000198585.1,1995,966,,.,100,yes
SAMN06110481,China: Chengdu,Stewed meat,PDT000210780.1,2013-06,2851,,.,100,yes
SAMN03996322,Jordan:Amman,human,PDT000291304.1,,#N/A,,.,100,yes
SAMEA3649022,,not available: to be reported later,PDT000358818.1,1900/1973,1,PDS000007514.9,.,100,yes
SAMN11267087,USSR: Kerch,feces,PDT000498499.1,1978,-,,.,100,yes
SAMN07338233,,,PDT000526538.1,,96,PDS000046740.1,.,100,yes
SAMN07338226,,,PDT000526541.1,,#N/A,,.,100,yes
SAMN07338234,,,PDT000526550.1,,85,,.,100,yes
SAMN07338081,China: Sichuan,water,PDT000526685.1,2014,817,PDS000046732.1,.,100,yes
SAMN07338075,China: Sichuan,water,PDT000526688.1,2014,2828,,.,100,yes
SAMN07338084,China: Sichuan,fish,PDT000526696.1,2014,285,PDS000046705.1,.,100,yes
SAMN07338011,China: Shandong,fish,PDT000526760.1,2014,1121,PDS000046721.1,.,100,yes
SAMN07338004,China: Shandong,fish,PDT000526784.1,2014,1121,PDS000046721.1,.,100,yes
SAMN07337982,China: Shandong,fish,PDT000526792.1,2014,#N/A,,.,100,yes
SAMEA5851835,Bangladesh,human gut,PDT000570911.1,,65,PDS000007549.8,.,100,yes
SAMN13245766,USA,oyster,PDT000625991.1,2013-06,1716,PDS000019835.15,.,100,yes
SAMN10702672,USA,,PDT000630428.1,,1727,PDS000054679.1,.,100,yes
SAMN12648283,,,PDT000652613.1,,-,PDS000036600.9,.,100,yes
SAMN14306775,USA,,PDT000715572.2,,110,PDS000012306.14,.,100,yes
SAMN12648280,USA,stool,PDT000722004.1,17/8/2012,110,PDS000012306.14,.,100,yes
SAMN14411233,China: Guangzhou,stool,PDT000866886.1,2018,-,,.,100,yes
SAMN16782976,"China:Guangdong, Shenzhen",seafood,PDT000951505.1,2010,#N/A,,.,100,yes
SAMN16782966,"China:Guangdong, Shenzhen",,PDT000951517.1,2015,635,PDS000115798.1,.,100,yes
SAMN16783385,"China:Guangdong, Shenzhen",stool sample,PDT000951540.1,2008,493,PDS000080501.1,.,100,yes
SAMN16783340,"China:Guangdong, Shenzhen",seafood,PDT000952462.1,2017,417,PDS000007538.20,.,100,yes
SAMN16783323,"China:Guangdong, Shenzhen",,PDT000952482.1,2017,-,,.,100,yes
SAMN16783310,"China:Guangdong, Shenzhen",anal swabs,PDT000952493.1,2017,635,PDS000115801.1,.,100,yes
SAMN16783284,"China:Guangdong, Shenzhen",,PDT000952521.1,2011,1119,PDS000112441.1,.,100,yes
SAMN16783267,"China:Guangdong, Shenzhen",stool sample,PDT000952535.1,2010,#N/A,,.,100,yes
SAMN16783262,"China:Guangdong, Shenzhen",,PDT000952540.1,2009,1498,PDS000115831.1,.,100,yes
SAMN16783244,"China:Guangdong, Shenzhen",stool sample,PDT000952561.1,2013,956,PDS000080595.2,.,100,yes
SAMN16783232,"China:Guangdong, Shenzhen",,PDT000952572.1,2016,635,PDS000115798.1,.,100,yes
SAMN16783231,"China:Guangdong, Shenzhen",,PDT000952573.1,2016,635,PDS000115798.1,.,100,yes
SAMN16783229,"China:Guangdong, Shenzhen",,PDT000952575.1,2015,635,PDS000115798.1,.,100,yes
SAMN16783227,"China:Guangdong, Shenzhen",,PDT000952577.1,2013,635,PDS000115798.1,.,100,yes
SAMN16783225,"China:Guangdong, Shenzhen",stool sample,PDT000952579.1,2012,956,PDS000080595.2,.,100,yes
SAMN16783220,"China:Guangdong, Shenzhen",,PDT000952585.1,2008,1,PDS000007514.9,.,100,yes
SAMN16783208,"China:Guangdong, Shenzhen",stool sample,PDT000952594.1,2009,483,,.,100,yes
SAMN16783200,"China:Guangdong, Shenzhen",stool sample,PDT000952602.1,2012,817,PDS000115800.1,.,100,yes
SAMN16783138,"China:Guangdong, Shenzhen",,PDT000952667.1,2015,-,PDS000115848.1,.,100,yes
SAMN16783114,"China:Guangdong, Shenzhen",stool sample,PDT000952687.1,2009,493,PDS000080501.1,.,100,yes
SAMEA8102993,Japan,human,PDT001087922.1,1980,-,,.,100,yes
SAMEA8103005,China,human,PDT001087946.1,2016,-,,.,100,yes
SAMEA8103010,China,human,PDT001087954.1,2016,#N/A,,.,100,yes
SAMEA8103013,China,human,PDT001087955.1,2016,1352,,.,100,yes
SAMEA8103007,China,human,PDT001087959.1,2016,79,,.,100,yes
SAMN17214563,China,laboratory,PDT001122683.1,2020-08,1,,.,100,yes
SAMN17188302,China:Tianjin,,PDT001234927.1,2016-07,1,PDS000007514.9,.,100,yes
SAMN17188309,China:Tianjin,,PDT001234928.1,2017-04,424,PDS000103846.2,.,100,yes
SAMN17188298,China:Tianjin,,PDT001234930.1,2015-07,1,PDS000007514.9,.,100,yes
SAMN25962176,China:Shanghai,not collected,PDT001253443.1,2017-09,-,,.,100,yes
SAMN26550103,"Thailand: Gulf of Thailand, Bangpoo, Samut Prakan",Aquatic bird feces,PDT001269993.1,17/10/2016,-,,.,100,yes
SAMN26550102,"Thailand: Gulf of Thailand, Bangpoo, Samut Prakan",Aquatic bird feces,PDT001269995.1,3/10/2016,985,,.,100,yes
SAMN26550101,"Thailand: Gulf of Thailand, Bangpoo, Samut Prakan",Aquatic bird feces,PDT001269996.1,5/9/2016,3097,,.,100,yes
SAMN17385173,India,,PDT001278140.1,2017,2213,,.,100,yes
SAMN17496760,Thailand,Shrimps,PDT001278141.1,2017,-,,.,100,yes
SAMN15889568,China: Donggang,seawater,PDT001299048.1,2018,1750,,.,100,yes
SAMN20353082,China: Shenzhen,patient,PDT001333352.1,9/5/2015,-,PDS000115848.1,.,100,yes
SAMN15597506,Mauritius:Poudre d'Or,,PDT001378503.1,1/6/2017,2504,,.,100,yes
SAMN29790266,Thailand,the shrimp farm in eastern Thailand,PDT001506563.1,2013,2137,PDS000126107.1,.,100,yes
SAMN29790265,Thailand,the shrimp farm in eastern Thailand,PDT001506564.1,2013,2137,PDS000126107.1,.,100,yes
SAMN29790259,Thailand,the shrimp farm in eastern Thailand,PDT001506567.1,2013,1925,,.,100,yes
SAMN29790262,Thailand,the shrimp farm in eastern Thailand,PDT001506590.1,2013,1925,PDS000126104.1,.,100,yes
SAMN32302460,China:Jiangsu,hepatopancreas,PDT001549693.1,2022-03,1498,PDS000171766.1,.,100,yes
SAMEA112324444,China,human,PDT001590400.1,1987,91,PDS000134218.1,.,100,yes
SAMEA112324443,China,human,PDT001590413.1,1984,91,PDS000134218.1,.,100,yes
SAMEA112324422,China,human,PDT001590414.1,2016,123,,.,100,yes
SAMN33777187,China:Shenzhen,food,PDT001668799.1,2015,-,PDS000141132.1,.,100,yes
SAMN33777188,China:Shenzhen,food,PDT001679181.1,2015,-,PDS000141132.1,.,100,yes
SAMN35217038,Spain: Cadiz,oyster,PDT001742328.1,2021,-,,.,100,yes
SAMN35216999,Spain: Cadiz,estuarine water,PDT001742386.1,2021,1032,,.,100,yes
SAMN35345341,USA,human,PDT001756216.3,27/1/2003,635,,.,100,yes
SAMN35685590,USA,,PDT001774355.1,2023,-,PDS000007517.15,.,100,yes
SAMN36294851,USA,,PDT001809189.1,2023,-,,.,100,yes
SAMN36439436,USA,,PDT001817027.1,2023,1716,PDS000153203.1,.,100,yes
SAMN36521074,USA,,PDT001821866.1,2023,771,PDS000049496.7,.,100,yes
SAMN36704257,USA,,PDT001827994.1,2023,1127,PDS000054628.5,.,100,yes
SAMN36737260,USA,,PDT001831510.1,,-,PDS000051764.6,.,100,yes
SAMN36808861,USA,,PDT001837324.1,2023,-,PDS000051764.6,.,100,yes
SAMN36827039,USA,,PDT001839285.1,2023,8,PDS000007517.15,.,100,yes
SAMN36838893,USA,,PDT001839723.1,2023,2209,,.,100,yes
SAMN36871293,USA,,PDT001843428.1,2023,2529,PDS000016327.31,.,100,yes
SAMN36872598,USA,,PDT001843546.1,2023,1196,PDS000082370.9,.,100,yes
SAMN36872596,USA,,PDT001843549.1,2023,3244,PDS000120348.4,.,100,yes
SAMN36983649,USA,,PDT001850807.1,2023,64,PDS000070037.4,.,100,yes
SAMN36983648,USA,,PDT001850808.1,2023,2529,PDS000016327.31,.,100,yes
SAMN36994040,USA,,PDT001851996.1,2023,653,PDS000012306.14,.,100,yes
SAMN37044502,USA,,PDT001854603.1,,653,PDS000012306.14,.,100,yes
SAMN37094463,USA,,PDT001856964.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37109418,USA,,PDT001858393.1,2023,1165,PDS000157288.2,.,100,yes
SAMN37127548,USA,,PDT001859781.1,2023,1716,PDS000036600.9,.,100,yes
SAMN37127545,USA,,PDT001859783.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37127553,USA,,PDT001859788.1,2023,-,PDS000107571.4,.,100,yes
SAMN37146962,USA,,PDT001861110.1,2023,1730,,.,100,yes
SAMN37195302,USA,,PDT001868714.1,2023,1165,PDS000157288.2,.,100,yes
SAMN37195301,USA,,PDT001868716.1,2023,631,,.,100,yes
SAMN37195303,USA,,PDT001868717.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37195305,USA,,PDT001868729.1,2023,6,PDS000018687.6,.,100,yes
SAMN37195750,USA,,PDT001868788.1,2023,-,,.,100,yes
SAMN37195749,USA,,PDT001868790.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37212792,USA,,PDT001869696.1,2023,-,PDS000157364.1,.,100,yes
SAMN37231805,USA,,PDT001870664.1,2023,2492,PDS000016699.32,.,100,yes
SAMN37231847,USA,,PDT001870685.1,2023,417,PDS000052463.16,.,100,yes
SAMN37298573,USA,,PDT001874685.1,2023,-,,.,100,yes
SAMN37316137,USA,,PDT001876762.1,2023,-,PDS000158060.1,.,100,yes
SAMN37385378,USA,,PDT001884480.1,2023,2492,PDS000016699.32,.,100,yes
SAMN37456712,USA,,PDT001890342.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37531613,USA,,PDT001901098.1,2023,64,PDS000070037.4,.,100,yes
SAMN37531610,USA,,PDT001901099.1,2023,614,PDS000160577.1,.,100,yes
SAMN37545257,USA,,PDT001904090.1,2023,1165,PDS000157288.2,.,100,yes
SAMN37605371,United Kingdom: United Kingdom,human,PDT001909955.1,2023-01,222,,.,100,yes
SAMN37605368,United Kingdom: United Kingdom,human,PDT001909958.1,2021-10,-,PDS000161193.1,.,100,yes
SAMN37605378,United Kingdom: United Kingdom,human,PDT001909962.1,2021-10,-,PDS000161193.1,.,100,yes
SAMN37692537,USA,,PDT001917581.1,2023,#N/A,PDS000161665.1,.,100,yes
SAMN37752254,USA,,PDT001923889.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37752252,USA,,PDT001923890.1,2023,2529,PDS000016327.31,.,100,yes
SAMN37752360,USA,,PDT001923891.1,2023,8,PDS000007517.15,.,100,yes
SAMN37997315,USA,,PDT001954215.1,2023,#N/A,,.,100,yes
SAMN38143122,USA,,PDT001973247.1,2023,771,PDS000049496.7,.,100,yes
SAMN38143536,USA,,PDT001973748.1,2023,653,PDS000012306.14,.,100,yes
SAMN38335644,USA,,PDT001993350.1,2023,12,PDS000167019.1,.,100,yes
SAMN38762080,USA,,PDT002023798.1,2023,653,PDS000012306.14,.,100,yes
SAMN38842758,United Kingdom: United Kingdom,human,PDT002029677.1,2023-12,671,,.,100,yes
SAMN38858607,USA,,PDT002031329.1,2023,1730,,.,100,yes
SAMN31329111,China,,PDT002036613.1,10/7/2021,2895,,.,100,yes
SAMN39105912,China: Fujian,hepatopancreas; aquaculture farm,PDT002044516.1,11/2/2023,3097,,.,100,yes
SAMN40041767,USA:WA,salt water,PDT002084898.1,21/6/2023,1716,PDS000019835.15,.,100,yes
SAMN40138883,USA,,PDT002086701.1,2023,-,PDS000174899.1,.,100,yes
SAMN40138881,USA,,PDT002086702.1,2023,2529,PDS000016327.31,.,100,yes
SAMN40138882,USA,,PDT002086707.1,2023,141,,.,100,yes
SAMN40419221,USA,,PDT002110942.1,2023,2529,PDS000016327.31,.,100,yes
SAMN40419219,USA,,PDT002110945.1,2023,-,,.,100,yes
SAMN40752435,USA,,PDT002131238.1,2024,64,,.,100,yes
SAMN40650213,China,environmental,PDT002133091.1,24/7/2023,-,PDS000180508.1,.,100,yes
SAMN40650212,China,environmental,PDT002133092.1,24/7/2023,-,,.,100,yes
SAMN40650211,China,environmental,PDT002133093.1,24/7/2023,-,PDS000180508.1,.,100,yes
SAMN40995274,USA,,PDT002140264.1,2023,2529,PDS000016327.31,.,100,yes
SAMN40995273,USA,,PDT002140265.1,2023,2529,PDS000016327.31,.,100,yes
SAMN34072781,New Zealand,,PDT002158228.1,2021,36,PDS000007553.295,.,100,yes
SAMN34072662,New Zealand,,PDT002158345.1,2004,2655,,.,100,yes
SAMN41386505,Not Provided,,PDT002163661.1,1/1/2023,-,PDS000182363.1,.,100,yes
SAMN41086794,China: Heilongjiang,Freshwater fish,PDT002193659.1,27/6/2020,123,,.,100,yes
SAMN41086785,China: Inner Mongolia,Catering food,PDT002193667.1,27/6/2020,1,PDS000007514.9,.,100,yes
SAMN41086715,China: Hubei,Algae,PDT002193736.1,27/6/2020,64,PDS000184451.1,.,100,yes
SAMN41086714,China: Hubei,Algae,PDT002193738.1,27/6/2020,64,PDS000184451.1,.,100,yes
SAMN41086701,China: Sichuan,Freshwater fish,PDT002193749.1,27/6/2020,1761,,.,100,yes
SAMN41086699,China: Sichuan,seafood,PDT002193751.1,27/6/2020,-,PDS000184462.1,.,100,yes
SAMN41086679,China: Zhejiang,Freshwater fish,PDT002193771.1,27/6/2020,-,PDS000184462.1,.,100,yes
SAMN41086670,China: Zhejiang,seafood,PDT002193785.1,27/6/2020,363,,.,100,yes
SAMN41760654,United Kingdom: United Kingdom,human,PDT002196046.1,2024-06,-,PDS000186183.1,.,100,yes
SAMN41981152,United Kingdom: United Kingdom,human,PDT002221988.1,2024-06,-,PDS000186183.1,.,100,yes
SAMN42010922,Not Provided,,PDT002225240.1,1/1/2024,-,PDS000188182.1,.,100,yes
SAMEA110132192,Portugal,environmental,PDT002233114.1,,-,,.,100,yes
SAMEA110132198,France,environmental,PDT002233116.1,,987,,.,100,yes
SAMN42335932,USA,,PDT002240423.1,2024,#N/A,PDS000054628.5,.,100,yes
SAMN42375235,USA:TX,swab,PDT002244225.1,2024-04,670,PDS000107571.4,.,100,yes
SAMN42431494,USA,,PDT002246567.1,2024,-,PDS000188182.1,.,100,yes
SAMN42499519,USA,,PDT002255073.1,2024,-,,.,100,yes
SAMN42761887,USA,,PDT002263281.1,2024,809,PDS000188991.1,.,100,yes
SAMN42762811,USA,,PDT002263293.1,2024,2492,PDS000016699.32,.,100,yes
SAMN42914355,USA,,PDT002276720.1,2024,1127,PDS000189916.1,.,100,yes
SAMN42914353,USA,,PDT002276722.1,2024,1127,PDS000054628.5,.,100,yes
SAMN43010951,USA,,PDT002281159.1,2024,-,PDS000190313.1,.,100,yes
SAMN43011391,USA,,PDT002281309.1,2024,2529,PDS000016327.31,.,100,yes
SAMN43065943,USA,,PDT002303150.1,2024,632,PDS000018014.5,.,100,yes
SAMN43093157,USA,,PDT002310194.1,2024,2492,PDS000016699.32,.,100,yes
SAMN43145252,USA,,PDT002316271.1,2024,2529,PDS000016327.31,.,100,yes
SAMN43148271,USA,,PDT002317168.1,2024,2529,PDS000016327.31,.,100,yes
SAMN43148274,USA,,PDT002317236.1,,2213,PDS000192613.1,.,100,yes
SAMN43148075,United Kingdom: United Kingdom,human,PDT002317759.1,2024-07,-,,.,100,yes
SAMN43148074,United Kingdom: United Kingdom,human,PDT002317760.1,2024-08,-,PDS000193325.1,.,100,yes
SAMN43204249,USA,,PDT002324381.1,2024,-,PDS000193326.1,.,100,yes
SAMN43206362,United Kingdom: United Kingdom,human,PDT002324830.1,2024-08,-,PDS000193325.1,.,100,yes
SAMN43225437,USA:SC,,PDT002325331.1,2024,1356,,.,100,yes
SAMN43225516,USA,,PDT002325332.1,2024,3244,PDS000120348.4,.,100,yes
SAMN43257932,USA,,PDT002328703.1,2024,141,,.,100,yes
SAMN43271903,USA,,PDT002330952.1,2024,3244,PDS000120348.4,.,100,yes
SAMN43319214,USA,,PDT002336409.1,2024,631,,.,100,yes
SAMD00009556,,,PDT000023906.1,,-,,.,.,no
SAMD00009557,,,PDT000023908.1,,977,PDS000116543.4,.,.,no
SAMD00009558,,,PDT000023904.1,,970,PDS000053374.4,.,.,no
SAMD00009559,,,PDT000023903.1,,114,PDS000007512.2,.,.,no
SAMD00009560,,,PDT000023905.1,,353,PDS000054224.11,.,.,no
SAMEA110176648,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001524544.1,2015,-,,.,.,no
SAMEA110176649,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001529138.1,2015,-,,.,.,no
SAMEA110176650,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001518916.1,2015,-,,.,.,no
SAMEA110176651,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001529137.1,2015,-,,.,.,no
SAMEA110176652,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001529139.1,2015,-,,.,.,no
SAMEA110176654,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001523186.1,2015,729,,.,.,no
SAMEA110176655,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001529140.1,2015,-,,.,.,no
SAMEA110176656,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001518917.1,2015,-,,.,.,no
SAMEA110176657,Ecuador,Macerated stomach and hepatopancreas samples from shrimp. Samples were grown in TCBS and colonies purified on TSA plates according to morphology. Isolate was cultured in TCBS.,PDT001514289.1,2015,-,,.,.,no
SAMEA5540085,United Kingdom,,PDT000664156.1,,2815,PDS000055734.1,.,.,no
SAMEA5540087,United Kingdom,,PDT000664158.1,,-,,.,.,no
SAMEA5540088,United Kingdom,,PDT000664159.1,,-,,.,.,no
SAMEA6490898,,Seawater - Adriatic Sea,PDT000948665.1,26/6/2007,1284,,.,.,no
SAMEA8103019,Japan,human,PDT001087965.1,1980,3,,.,.,no
SAMEA8103022,Japan,human,PDT001087951.1,1980,1845,PDS000092771.1,.,.,no
SAMEA8103023,Japan,human,PDT001087947.1,1980,-,PDS000092772.1,.,.,no
